personID,"albums_album","albums_artist","albums_id"
4,"Bullets Ain't Got No Name Vol. 1","Nipsey Hussle","5qgpc2AibxlsSRjEOiudqj"
4,"ROADRUNNER: NEW LIGHT, NEW MACHINE PLUS PACK","BROCKHAMPTON","5iwHnTMSgzypmxdmQOr7if"
4,"Faith","Pop Smoke","2MlT9dGKoGH2hsfcz7UUXL"
5,"Javelin","Sufjan Stevens","2KqSL3vLfyVO7rrZJL9tUs"
5,"Beethoven Blues","Jon Batiste","3eXr4s3rCLxNJpxqaIDyqJ"
5,"Rude","Cour","3F9EtcqCQpEdVsaAZ6DENA"
5,"Tchaikovsky: The Nutcracker","Pyotr Ilyich Tchaikovsky","54Awn36ryf55PkZyOR4iwQ"
5,"Christmas with the Trapp Family","Trapp Family Singers","0ygd65X0InlWGigRzW0F6B"
5,"Sing Street","Various Artists","7ubvuN0J0CPRUa2JUE2pxM"
5,"Reflections","Sufjan Stevens","5VHkiYllmLhZ2ZJ6fzJg21"
5,"Whiplash","Various Artists","7bsistH3CCaUMqHCjNFpZT"
5,"Meat and Candy","Old Dominion","1G4WDlYjm0VqgyEymNJRcf"
5,"Postmodern Jukebox at the Piano","Scott Bradlee's Postmodern Jukebox","2DiclA8hamAgYbkW5eqPnS"
5,"The Goat Rodeo Sessions","Yo-Yo Ma","3P7xbl4YB4T73vWRHgcHMa"
5,"Professional Rapper","Lil Dicky","5eLVoIPq7P3Bu29lVgD4x0"
5,"Starlight","Dave","1WLS1NrOlbDIl760hVeeUi"
5,"Halloween Music","Camille Saint-Saëns","46X1IgQ1swAVlNeUJeAHwu"
5,"Pirate Radio","Various Artists","7GFn8ze0gydX3f0WNMCxaG"
5,"The Rise and Fall of a Midwest Princess","Chappell Roan","0EiI8ylL0FmWWpgHVTsZjZ"
5,"Cambridge Singers Christmas Album","The Cambridge Singers","0vfX51J1FSfPhcxM4I3kUb"
6,"Dark Sky Paradise","Big Sean","1j2x7FJXTgUT0X5hZ8TDXE"
6,"Faces","Mac Miller","5SKnXCvB4fcGSZu32o3LRY"
6,"More Life","Drake","1lXY618HWkwYKJWBRYR4MK"
6,"Dark Lane Demo Tapes","Drake","6OQ9gBfg5EXeNAEwGSs6jK"
6,"Reasonable Doubt","JAY-Z","3YPK0bNOuayhmSrs0sIIBR"
6,"The House Is Burning [homies begged]","Isaiah Rashad","33ichA2TzIOdW248hRlqpH"
6,"My Beautiful Dark Twisted Fantasy","Kanye West","20r762YmB5HeofjMCiPMLv"
6,"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone","5qBu7Ab6alstSCAzxTJMb1"
6,"Paint Horse","Benjamin Dakota Rogers","6s0ZlMKxMLMAspUfTI2NzN"
