personID,endTime_UTC,audiobookName,chapterName,authorName,msPlayed
8,2025-07-26 14:28:00,Ready Player Two,Chapter 29,Ernest Cline,751013
8,2025-07-28 21:04:00,Ready Player Two,Chapter 29,Ernest Cline,370893
8,2025-07-29 23:14:00,Ready Player Two,Chapter 30,Ernest Cline,1792
8,2025-07-30 00:00:00,Ready Player Two,Chapter 30,Ernest Cline,1688242
8,2025-07-30 00:13:00,Ready Player Two,Continue?,Ernest Cline,781533
8,2025-07-30 00:13:00,Ready Player Two,Ending Credits,Ernest Cline,28560
8,2025-08-01 20:29:00,Dune,Opening Credits,Frank Herbert,60056
8,2025-08-01 20:35:00,Armada,Chapter 0,Ernest Cline,11128
8,2025-08-01 20:35:00,Dune,Chapter 1,Frank Herbert,221093
8,2025-08-01 21:02:00,Armada,Chapter 1,Ernest Cline,1594775
8,2025-08-01 21:38:00,Armada,Chapter 2,Ernest Cline,2178324
8,2025-08-02 23:21:00,Armada,Chapter 3,Ernest Cline,5016
8,2025-08-02 23:21:00,Armada,Chapter 3,Ernest Cline,1064551
8,2025-08-03 17:29:00,Armada,Chapter 3,Ernest Cline,1086440
8,2025-08-03 17:48:00,Armada,Chapter 4,Ernest Cline,1141080
8,2025-08-03 18:02:00,Armada,Chapter 5,Ernest Cline,817046
8,2025-08-05 23:29:00,Armada,Chapter 5,Ernest Cline,887144
8,2025-08-05 23:48:00,Armada,Chapter 6,Ernest Cline,1130004
8,2025-08-06 00:01:00,Armada,Chapter 7,Ernest Cline,656570
8,2025-08-06 22:00:00,Armada,Chapter 7,Ernest Cline,1281841
8,2025-08-07 10:14:00,Armada,Chapter 8,Ernest Cline,1118928
8,2025-08-07 10:15:00,Armada,Chapter 8,Ernest Cline,2090
8,2025-08-10 15:25:00,Armada,Chapter 8,Ernest Cline,580022
8,2025-08-10 15:45:00,Armada,Chapter 9,Ernest Cline,1183921
8,2025-08-10 15:49:00,Armada,Chapter 10,Ernest Cline,226985
