personID,artistName,segment
1,Ricky Montgomery,Previously Active Listeners
1,Tinovimbanashe Sibanda,Previously Active Listeners
1,Dawn Willis,Light listeners
1,JoJo Siwa,Previously Active Listeners
1,The Wrecks,Previously Active Listeners
1,Jacob Collier,Light listeners
1,KATSEYE,Moderate listeners
1,Jasmine Chen,Previously Active Listeners
1,Ve'ondre,Previously Active Listeners
1,Matthew Risch,Previously Active Listeners
1,Bill McCutcheon,Previously Active Listeners
1,Rachel Bay Jones,Previously Active Listeners
1,Yvette Gonzalez-Nacer,Moderate listeners
1,Panic! At The Disco,Previously Active Listeners
1,Katy Secombe,Previously Active Listeners
1,Soundtrack/Cast Album,Light listeners
1,Akira,Previously Active Listeners
1,Natalie Joy Johnson,Previously Active Listeners
1,Kay Trinidad,Moderate listeners
1,Jerry Tondo,Previously Active Listeners
1,Salatiel,Previously Active Listeners
1,Faith Prince,Previously Active Listeners
1,F1 The Album,Previously Active Listeners
1,Ari Afsar,Light listeners
1,Pharrell Williams,Previously Active Listeners
1,Louis Armstrong,Previously Active Listeners
1,Kyle Selig,Light listeners
1,Lawrence,Previously Active Listeners
1,Karey Kirkpatrick,Previously Active Listeners
1,Liz Callaway,Previously Active Listeners
1,Ashley Park,Light listeners
1,Whitney Houston,Previously Active Listeners
1,Scott Redmond,Previously Active Listeners
1,lala,Previously Active Listeners
1,Disney,Light listeners
1,Steven Universe,Previously Active Listeners
1,"Stephanie J. Block, Megan Hilty and Allison Janney",Previously Active Listeners
1,Cindy Belliot,Previously Active Listeners
1,Demi Lovato,Previously Active Listeners
1,"Megan Hilty, Stephanie J. Block, Allison Janney and Ensemble",Previously Active Listeners
1,"Hello, Dolly! Ensemble (2017)",Previously Active Listeners
1,Joe Hisaishi,Previously Active Listeners
1,Ms. Lauryn Hill,Previously Active Listeners
1,Laura Bell Bundy,Light listeners
1,Willy William,Previously Active Listeners
1,Dan Stevens,Previously Active Listeners
1,WizTheMc,Previously Active Listeners
1,Ensemble - Beauty and the Beast,Previously Active Listeners
1,Addison Rae,Moderate listeners
1,mxmtoon,Light listeners
1,Andrew Lloyd Webber,Moderate listeners
1,Echosmith,Previously Active Listeners
1,Sia,Previously Active Listeners
1,Jerry Bock,Light listeners
1,David Guetta,Previously Active Listeners
1,Cheryl Freeman,Previously Active Listeners
1,Joni Mitchell,Previously Active Listeners
1,Lexi Lawson,Light listeners
1,Beyoncé,Moderate listeners
1,Re'Sean Pates,Light listeners
1,Grateful Dead,Previously Active Listeners
1,Yuno Miles,Previously Active Listeners
1,ADÉLA,Previously Active Listeners
1,London Symphony Orchestra,Previously Active Listeners
1,Gareth Davies,Previously Active Listeners
1,Lilli Cooper,Light listeners
1,Christina Aguilera,Previously Active Listeners
1,Jessie Buckley,Light listeners
1,Tuck Everlasting Original Broadway Cast Ensemble,Light listeners
1,Frode Fjellheim,Light listeners
1,Lil Wayne,Light listeners
1,Tina Marie DeLeone,Previously Active Listeners
1,Avril Lavigne,Previously Active Listeners
1,The 1975,Previously Active Listeners
1,Cinderella's Mice Chorus,Previously Active Listeners
1,Company - Mary Poppins Returns,Previously Active Listeners
1,Sean McCourt,Light listeners
1,Carla J. Hargrove,Light listeners
1,Mariah Carey,Previously Active Listeners
1,Paul Vogt,Light listeners
1,Thịnh Suy,Previously Active Listeners
1,Bb trickz,Previously Active Listeners
1,Bruno Campos,Previously Active Listeners
1,Delta Nus,Light listeners
1,Elizabeth Stanley,Previously Active Listeners
1,KAROL G,Previously Active Listeners
1,Topol,Previously Active Listeners
1,Victoria Clark,Previously Active Listeners
1,Eva Noblezada,Moderate listeners
1,Mark Keali'i Ho'omalu,Previously Active Listeners
1,Alkemie,Previously Active Listeners
1,Ben Kessler,Light listeners
1,"Tyler, The Creator",Moderate listeners
1,John Travolta,Previously Active Listeners
1,Cristy Candler,Light listeners
1,The Brudi Brothers,Previously Active Listeners
1,The Rare Occasions,Previously Active Listeners
1,D-Block Europe,Previously Active Listeners
1,Kelly Clarkson,Previously Active Listeners
1,Little Shop of Horrors Off-Broadway Revival Company,Previously Active Listeners
1,DJ Lag,Previously Active Listeners
1,John Carpenter,Previously Active Listeners
1,VocalEssence Ensemble Singers,Previously Active Listeners
1,Sammy Rae & The Friends,Previously Active Listeners
1,Caroline Polachek,Previously Active Listeners
1,John Kani,Previously Active Listeners
1,Patrick Page,Previously Active Listeners
1,Alex Brightman,Previously Active Listeners
1,Kinneret,Previously Active Listeners
1,Robyn,Previously Active Listeners
1,HAIM,Previously Active Listeners
1,'Legally Blonde' Ensemble,Previously Active Listeners
1,Original Broadway Cast of Mean Girls,Moderate listeners
1,Jeremy Irons,Previously Active Listeners
1,Naomi Scott,Previously Active Listeners
1,Kathryn Beaumont,Previously Active Listeners
1,Ilene Woods,Previously Active Listeners
1,Bladee,Previously Active Listeners
1,Kimberly Marable,Light listeners
1,Tom Hulce,Previously Active Listeners
1,Walter Charles,Previously Active Listeners
1,Marissa Heart,Light listeners
1,Shina Ann Morris,Previously Active Listeners
1,Ektaal A Cappella,Light listeners
1,Jessie Mueller,Moderate listeners
1,Noah Weisberg,Previously Active Listeners
1,Jonathan Groff,Previously Active Listeners
1,Ty Dolla $ign,Previously Active Listeners
1,The Muppets,Previously Active Listeners
1,Mark Ronson,Previously Active Listeners
1,Victoria Monét,Previously Active Listeners
1,Alexandra Silber,Light listeners
1,Latto,Previously Active Listeners
1,Claire Greenway,Light listeners
1,Marc Kudisch,Previously Active Listeners
1,Catie Turner,Previously Active Listeners
1,Peter Gallagher,Previously Active Listeners
1,The Band's Visit Original Broadway Company,Previously Active Listeners
1,Ice Spice,Previously Active Listeners
1,Emily Mortimer,Previously Active Listeners
1,Original Broadway Cast of The Great Gatsby - A New Musical,Light listeners
1,Adanna Duru,Previously Active Listeners
1,Daya,Previously Active Listeners
1,Doja Cat,Light listeners
1,Waka Flocka Flame,Light listeners
1,Heidi Blickenstaff,Previously Active Listeners
1,Jon Hopkins,Previously Active Listeners
1,Olivia Rodrigo,Super Listeners
1,Philip Michael,Previously Active Listeners
1,Santino Fontana,Previously Active Listeners
1,Martha Reeves & The Vandellas,Previously Active Listeners
1,Paramore,Previously Active Listeners
1,SAINt JHN,Previously Active Listeners
1,Timothy Shew,Previously Active Listeners
1,Megan Thee Stallion,Light listeners
1,Little Mix,Previously Active Listeners
1,Stevie Nicks,Previously Active Listeners
1,RENT Soundtrack,Light listeners
1,TV Sounds Unlimited,Light listeners
1,Heather Tepe,Light listeners
1,Samantha Massell,Light listeners
1,Adam Kantor,Previously Active Listeners
1,"Stephanie J. Block, Megan Hilty, Allison Janney, Marc Kudisch and Ensemble",Previously Active Listeners
1,Miley Cyrus,Light listeners
1,Paul McCartney,Previously Active Listeners
1,Claude-Michel Schönberg,Previously Active Listeners
1,Ruth B.,Previously Active Listeners
1,Sanjay Leela Bhansali,Light listeners
1,Leslie Feagan,Previously Active Listeners
1,Amber Efe,Previously Active Listeners
1,Gwen Stefani,Light listeners
1,Andrea Martin,Previously Active Listeners
1,Caryl Little,Previously Active Listeners
1,Karen Dotrice,Previously Active Listeners
1,Brian D'Arcy James,Light listeners
1,PigPen Theatre Co.,Previously Active Listeners
1,Lisa Lambert,Previously Active Listeners
1,VocalEssence Chorus,Previously Active Listeners
1,Ingrid Michaelson,Light listeners
1,Barbra Streisand,Light listeners
