artist.id,artist.name,artist.genre
0qjWYusrckF9BpkvWaoKRO,Cozy Coffee Shop,jazz
0qjWYusrckF9BpkvWaoKRO,Cozy Coffee Shop,ambient jazz
08kGue8QbmbM4IiRpFson7,Relaxing Piano Jazz,ambient jazz
08kGue8QbmbM4IiRpFson7,Relaxing Piano Jazz,jazz
0gqIrDRL7CEPBWMmkuZPdQ,Digable Planets,jazz rap
0gqIrDRL7CEPBWMmkuZPdQ,Digable Planets,east coast hip hop
0gqIrDRL7CEPBWMmkuZPdQ,Digable Planets,hip hop
0gqIrDRL7CEPBWMmkuZPdQ,Digable Planets,acid jazz
0gqIrDRL7CEPBWMmkuZPdQ,Digable Planets,old school hip hop
6mbMvxJiHaK9mNPyKSPGjA,Jestofunk,acid jazz
6mbMvxJiHaK9mNPyKSPGjA,Jestofunk,jazz funk
6mbMvxJiHaK9mNPyKSPGjA,Jestofunk,nu jazz
4J8KATDlTQSmBzS6T78QPN,Micky More & Andy Tee,nu disco
4J8KATDlTQSmBzS6T78QPN,Micky More & Andy Tee,disco house
4J8KATDlTQSmBzS6T78QPN,Micky More & Andy Tee,funky house
5JbYUdjaOALZLyhYRI79K2,1995,christian hip hop
78DvQP3rczGqfgEiLfFnCD,Torey D'Shaun,christian hip hop
78DvQP3rczGqfgEiLfFnCD,Torey D'Shaun,christian r&b
78DvQP3rczGqfgEiLfFnCD,Torey D'Shaun,christian
78DvQP3rczGqfgEiLfFnCD,Torey D'Shaun,christian pop
3fJ60AcIgLzQkVitEvA7uq,Pete Rock & C.L. Smooth,east coast hip hop
3fJ60AcIgLzQkVitEvA7uq,Pete Rock & C.L. Smooth,jazz rap
3fJ60AcIgLzQkVitEvA7uq,Pete Rock & C.L. Smooth,old school hip hop
3fJ60AcIgLzQkVitEvA7uq,Pete Rock & C.L. Smooth,boom bap
0YUf68058a5Q4W0gSGOdi6,Shylow,future bass
43KGNBtCYujVFg0pbqJiaA,Evan Fraser,funk rock
3LLs28LJVlXAjWc8UDkcQZ,Zion I,hyphy
3LLs28LJVlXAjWc8UDkcQZ,Zion I,underground hip hop
2WjvvwAX0mdWwq3aFuUdtc,Rebelution,reggae
2WjvvwAX0mdWwq3aFuUdtc,Rebelution,reggae rock
2WjvvwAX0mdWwq3aFuUdtc,Rebelution,roots reggae
2dzSec5CF9xQeW53ZJ5RHq,KBong,reggae rock
2dzSec5CF9xQeW53ZJ5RHq,KBong,reggae
4Ph46wgsWTC0UEANb4mjaF,Landon McNamara,reggae
4Ph46wgsWTC0UEANb4mjaF,Landon McNamara,surf rock
4Ph46wgsWTC0UEANb4mjaF,Landon McNamara,reggae rock
7uzJiBrgOJrSMR6PoGJA0h,Shrub,reggae rock
7uzJiBrgOJrSMR6PoGJA0h,Shrub,reggae
27LlKWxS3KXW7RRAxN5S8s,Geolier,canzone napoletana
27LlKWxS3KXW7RRAxN5S8s,Geolier,concerto
27LlKWxS3KXW7RRAxN5S8s,Geolier,italian trap
27LlKWxS3KXW7RRAxN5S8s,Geolier,neomelodico
10GT4yz8c6xjjnPGtGPI1l,Franc Moody,nu disco
1l2ekx5skC4gJH8djERwh1,Don Diablo,future house
1l2ekx5skC4gJH8djERwh1,Don Diablo,edm
1IJe80moz409PtxW4llPFw,Sleepy Fish,lo-fi beats
1IJe80moz409PtxW4llPFw,Sleepy Fish,lo-fi hip hop
1IJe80moz409PtxW4llPFw,Sleepy Fish,lo-fi
1IJe80moz409PtxW4llPFw,Sleepy Fish,jazz beats
0gqbW7Uf6BAWiAh5C6jlPs,Tommy Royale,christian reggaeton
0gqbW7Uf6BAWiAh5C6jlPs,Tommy Royale,christian hip hop
3s2wTjWxK8NOX09dmsvVOh,Chingy,crunk
2UBt0GWBuPVXlPisRvWzlD,Dead Prez,east coast hip hop
2UBt0GWBuPVXlPisRvWzlD,Dead Prez,old school hip hop
2UBt0GWBuPVXlPisRvWzlD,Dead Prez,hardcore hip hop
2UBt0GWBuPVXlPisRvWzlD,Dead Prez,hip hop
45lorWzrKLxfKlWpV7r9CN,Ben Harper,surf rock
12FHARd9fY0Tu0ila4Ua25,Trick Daddy,southern hip hop
12FHARd9fY0Tu0ila4Ua25,Trick Daddy,crunk
3jahzTuztFVegfKXChatkY,Trillville,crunk
3jahzTuztFVegfKXChatkY,Trillville,southern hip hop
4MxIkbJHi8ieBTAm2dhtKh,serein.,lo-fi beats
4xP5ZwkQY8L4npEoIzgXd5,Takeshi,jazz beats
4xP5ZwkQY8L4npEoIzgXd5,Takeshi,jazz rap
6Fwz7z7P6QfQA6mNW5Nze5,iamkosmos,jazz beats
6Fwz7z7P6QfQA6mNW5Nze5,iamkosmos,jazz rap
7CWzXEtz9IgGotcYUQuixF,Hakone,lo-fi
7CWzXEtz9IgGotcYUQuixF,Hakone,lo-fi hip hop
7CWzXEtz9IgGotcYUQuixF,Hakone,lo-fi beats
611H6R34SPmF5jQLMzc0wf,yosei.,jazz beats
611H6R34SPmF5jQLMzc0wf,yosei.,lo-fi
