artist.genres,artist.id,artist.name,artist.popularity,artist.followers
"['reggaeton', 'latin']",21451j1KhjAiaYKflxBjr1,Zion & Lennox,79,8587906
[],0qXZHhXFl0aHajexAFbGWj,Noah North,24,26572
[],5XDJlfdfbGNJrOJJNxTcdq,Phora,53,844344
['r&b'],5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,78,9885531
[],2NM1t8dMvgeu9Lfl06574g,Mishaal Tamer,63,238210
[],1PBlqhLmHwRbJm7yCmuw7h,WINGMAN,7,1241
[],2ORU5xiGsr9qfRKNvZ3UII,Zai1k,46,80593
"['jersey club', 'baltimore club', 'philly club']",6cA0eTMEit4fD6ZbTNoG4p,Tre Oh Fie,37,12385
"['jersey club', 'philly club']",2GRDbUJRZwKzeiwxrjJdmQ,2Rare,51,160222
[],1QRj3hoop9Mv5VvHQkwPEp,Olivia O'Brien,63,2078593
[],2cFrymmkijnjDg9SS92EPM,blackbear,74,5134903
['christmas'],4cPHsZM98sKzmV26wlwD2W,Brenda Lee,70,504657
"['motown', 'christmas']",2iE18Oxc8YSumAU232n4rW,The Jackson 5,69,1933436
['christmas'],0MHgLfmQdutffmvWe5XBTN,Burl Ives,63,126140
"['christmas', 'bolero', 'villancicos']",7K78lVZ8XzkjfRSI7570FF,José Feliciano,68,482564
"[""children's music""]",7oWSqrgMuIEyH9qp5nu2e5,Raffi,66,207668
['christmas'],4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,67,198719
[],70kkdajctXSbqSMJbQO424,Kacey Musgraves,74,1644422
[],3WGpXCj9YhhfX11TToZcXP,Troye Sivan,75,9496291
[],4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,80,36019715
[],0kiisaxpTLv4c9MdeKgNL6,Fred Armisen,24,5481
"[""children's music""]",2GEW6nJjHKAFyqnsE3TdWx,Zooey Deschanel,53,54815
['christmas'],7dbKeVkihtOifdiu7f3rUg,Lou Monte,44,15007
[],2qkfMoOIz3BqLD91C1B09a,Joe Reisman's Orchestra and Chorus,32,168
"['christmas', ""children's music""]",1SCWcYnoEh1978ycTDhZoW,Alvin & The Chipmunks,58,289405
['christmas'],4NI5R1DbX27ODY5JTqnv2l,David Seville,50,7301
"['christmas', 'adult standards', 'vocal jazz']",7v4imS0moSyGdXyLgVTIV7,Nat King Cole,74,2620453
"['vocal jazz', 'christmas']",3OpnoUqoRIHWbsFs4Nw0NQ,Nat King Cole Trio,54,204585
"['melodic bass', 'future bass']",0kErUwb6xgWfkdn0RyZWHZ,Annika Wells,62,85172
[],1SOubzv0uhrziEXbNLMUw9,sundial,41,112915
[],7wg1qvie3KqDNQbAkTdbX0,Louis The Child,57,498032
[],7Lk9V7E1u5gqSHmtcKlOqH,Sara Kays,56,578451
[],1htYtUdXVMwR6HCSs821Lc,Avenue Beat,35,109142
[],3YO2a6i2cfdFbgxk2HDfPe,Will Joseph Cook,39,87949
"['bedroom pop', 'indie pop']",3P4vW5tzQvmuoNaFQqzy9q,chloe moriondo,56,708458
['indie pop'],3MNLhvqJkWsO6tcjY9ps62,Maude Latour,43,121142
[],5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,64,738785
[],49jTY62Cpw3RYo4dLuG43W,Cian Ducrot,59,512257
"['brooklyn drill', 'melodic rap']",6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,77,10490320
[],2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,83,6806613
['emo rap'],5uLkZ7FWMTBUg1corQqdkR,Lund,58,609922
[],2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86,4780970
[],05TvjXcgQveeF7wh2DBHvp,eli.,43,193283
"['melodic rap', 'emo rap']",4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,87,44090343
[],1McMsnEElThX1knmY4oliG,Olivia Rodrigo,86,51211320
[],66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,63,655740
[],4yWpiD64QKqZiiEq6Cze8T,Anthro Beats,20,4649
[],5OyoCvyau6TiGqcCKnDBCR,Ollie,48,250364
['emo rap'],6R29RU7eyQHSNc5kaHPWJn,Ouse,48,101017
[],1bCclRGmTIDEfKmcW0bv95,Elijah Midjord,26,2652
[],6sFHvCyqklnJpXC9Nh1aag,Alexander 23,54,517027
