personID,"tracks_album","tracks_artist","tracks_track","tracks_id"
1,"Vertigo","Beach Bunny","Vertigo","7q32daOSf12k8WynvXBcyh"
1,"Remember Me (feat. BIA)","Dove Cameron","Remember Me (feat. BIA)","1A4knkdsQJPLTnMcjNIwZd"
1,"Goodbye Lullaby (Expanded Edition)","Avril Lavigne","What the Hell","2z4U9d5OAA4YLNXoCgioxo"
1,"The Outsider EP","Lyn Lapid","Comatose","0eV7LR9ZXDEtyHbVo4RGQX"
1,"xoa","Anaïs Mitchell","Any Way the Wind Blows","7z7odcpduSOI6dDMhcOK1W"
1,"Dua Lipa","Dua Lipa","Kiss and Make Up","7jr3iPu4O4bTCVwLMbdU2i"
1,"Older (and Wiser)","Lizzy McAlpine","Spring Into Summer","6oCXDaFZYL7sHnowv6pdXb"
1,"Riot!","Paramore","Misery Business","6SpLc7EXZIPpy0sVko0aoU"
1,"Hannah Montana The Movie","Miley Cyrus","The Climb","0V8FYVlBFuXXTIvRnMbZyS"
1,"Dangerous Woman","Ariana Grande","Greedy","1FFUXkoWIc9of8yOscGiaC"
1,"Ungodly Hour","Chloe x Halle","Intro","09mdolXGKiMdG8RqZDT4ah"
1,"Belle (Original Motion Picture Soundtrack)","ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ","U (From ""Belle"" Soundtrack) - English Version","169YBmYRX0JNR3o4CJVWXY"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","My Kink Is Karma","32fSZSbxeVoiZShMQKLc6Z"
1,"Sweetener","Ariana Grande","better off","3NbTQ8ZbHU6MSEVUFAVCJ9"
1,"MAÑANA SERÁ BONITO","KAROL G","AMARGURA","505v13epFXodT9fVAJ6h8k"
1,"The Kids Are Alright","Chloe x Halle","Warrior (from A Wrinkle in Time)","6hW9YIT1Y00EY5wO6pO3gG"
1,"Planet Her","Doja Cat","Woman","6Uj1ctrBOjOas8xZXGqKk4"
1,"Do It","Chloe x Halle","Do It","1bRjwdtScY2eMe9uMmsOkG"
1,"mona lisa","mxmtoon","mona lisa","5O7TgofxqSQh31TiRcKXzo"
1,"Stranger in the Alps","Phoebe Bridgers","Motion Sickness","25Syi9wnfn6ZGAmiOBypPq"
1,"Nobody Loves Me","mxmtoon","Nobody Loves Me","1SYqnlqZyI7dVYDEvdkBau"
1,"Harleys In Hawaii","Katy Perry","Harleys In Hawaii","5nCthAh3jt4xKuLJAifAaR"
1,"RWBY, Vol. 9 (Music from the Rooster Teeth Series)","Casey Lee Williams","Wings (Lo-Fi Version)","45etLywrI4FWsFOgUIYsZc"
1,"Plastic Hearts","Miley Cyrus","Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)","1Tip6R4swhC7E6hgILBjrE"
1,"CRAZY (feat. PinkPantheress)","LE SSERAFIM","CRAZY (feat. PinkPantheress)","3lLH0FlC2pYCeZEf05zKQn"
1,"Know-It-All","Alessia Cara","Here","5zUQZjVB6bfewBXWqsP9PY"
1,"Vroom Vroom EP","Charli xcx","Vroom Vroom","5hyq3LBlCfjRQAFkdQwe8o"
1,"Alligator Bites Never Heal","Doechii","BOILED PEANUTS","3Ehr6qjkJQTSL1LjsWELQb"
1,"recently","Liana Flores","recently,","1djCoU5rvnq2zXFyD2iqq4"
1,"Bewitched","Laufey","Must Be Love","4kSC1tqpUxYdZTqtA0aztf"
1,"emails i can't send","Sabrina Carpenter","Nonsense","6dgUya35uo964z7GZXM07g"
1,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Chloe x Halle","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","2WKJcMeqmjkL4FzFoJszR7"
1,"to love in the 21st century","Lyn Lapid","poster boy","17Wks0pgofBbv53Ay7m4Jc"
1,"Chromatica","Lady Gaga","Replay","7sKbyYeJnITO1Eh9xd0lKd"
1,"Seven-One","Colette Lush","Don't","5ngJKkOmjkN460b2ApBnLk"
1,"CHANEL","Tyla","CHANEL","4VxTzYm00mg82MuoT35Ja7"
1,"B'Day","Beyoncé","Freakum Dress","3IAyQMTYOsspp9p1htFSak"
1,"Fall In Love Alone","Stacey Ryan","Fall In Love Alone","5xwBIieMMFUmLDgvG4DjFe"
1,"RWBY, Vol. 8 (Music from the Rooster Teeth Series)","Ok Goodnight","Awake","4VA0dxx6mjCyIfzyt302Xc"
1,"HOMECOMING: THE LIVE ALBUM","Beyoncé","Freedom - Homecoming Live","2NTp1e0sRMHiw368rfCGvE"
1,"A Night At The Symphony","Laufey","Everytime We Say Goodbye - Live at The Symphony","5cddyAdFOA3JsC3MhYmc2Y"
1,"emails i can't send","Sabrina Carpenter","because i liked a boy","32FhTAAjKZaBein150o3Px"
1,"Golden Hour","Kacey Musgraves","Rainbow","79qxwHypONUt3AFq0WPpT9"
1,"CHROMAKOPIA","Tyler, The Creator","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","3tFed7YsjGnIfxeLEQwx3R"
1,"Hater's Anthem","Infinity Song","Hater's Anthem","6zNDaCnyrI3uUuvYqLpnAO"
1,"DMZ","Kinneret","Spoon Bending!","0QltNgm5AMSHEv1EGGJqJi"
1,"Let Go","Avril Lavigne","Complicated","5xEM5hIgJ1jjgcEBfpkt2F"
